repeat,outer_fold,config_id,hidden_size1,hidden_size2,hidden_size3,lr,weight_decay,dropout,inner_selected_threshold,inner_selected_epochs_median,inner_pr_auc,inner_roc_auc,inner_recall,inner_specificity,inner_balanced_accuracy,inner_mcc,inner_f1_score,inner_accuracy,inner_threshold,inner_tp,inner_tn,inner_fp,inner_fn
8,1,1,64,32,48,0.0003,0.0001,0.2,0.49999999999999994,34,0.6023679725520699,0.8995502958579882,0.6461538461538462,0.9723076923076923,0.8092307692307692,0.6412535433588098,0.6719999999999999,0.9426573426573427,0.49999999999999994,42,632,18,23
8,1,2,80,64,48,0.0003,0.001,0.5,0.49999999999999994,43,0.7005966646119353,0.9485917159763313,0.7846153846153846,0.9661538461538461,0.8753846153846154,0.7128380572386241,0.7391304347826088,0.9496503496503497,0.49999999999999994,51,628,22,14
8,1,3,32,32,32,0.001,0.001,0.4,0.5349999999999999,39,0.7259485122415136,0.9544260355029586,0.6923076923076923,0.9815384615384616,0.8369230769230769,0.715193791677791,0.7377049180327868,0.9552447552447553,0.5349999999999999,45,638,12,20
8,1,4,48,64,48,0.0003,0.0005,0.5,0.585,5,0.3283966279050283,0.6580236686390534,0.15384615384615385,1.0,0.5769230769230769,0.37662178857735473,0.2666666666666667,0.9230769230769231,0.585,10,650,0,55
8,1,5,80,16,32,0.0003,0.0005,0.2,0.5349999999999999,20,0.5051916686934763,0.7974437869822486,0.5076923076923077,0.9830769230769231,0.7453846153846153,0.5870878393797141,0.6055045871559633,0.9398601398601398,0.5349999999999999,33,639,11,32
8,2,0,48,64,48,0.001,0.001,0.4,0.4599999999999999,22,0.7477556646273293,0.9517514792899409,0.8923076923076924,0.9707692307692307,0.9315384615384615,0.8004001462322892,0.8169014084507042,0.9636363636363636,0.4599999999999999,58,631,19,7
8,2,1,32,64,16,0.0003,0.001,0.2,0.5499999999999999,23,0.38756966729533693,0.7029704142011834,0.35384615384615387,0.9738461538461538,0.6638461538461539,0.40991869112463425,0.43809523809523804,0.9174825174825175,0.5499999999999999,23,633,17,42
8,2,2,64,16,48,0.0003,0.0001,0.4,0.5349999999999999,20,0.3015318657792786,0.6250650887573964,0.24615384615384617,0.9846153846153847,0.6153846153846154,0.3544010289426641,0.3516483516483517,0.9174825174825175,0.5349999999999999,16,640,10,49
8,2,3,32,64,32,0.001,0.0001,0.5,0.585,5,0.457008759897429,0.7959881656804734,0.46153846153846156,0.9815384615384616,0.7215384615384616,0.5417018396126179,0.5607476635514019,0.9342657342657342,0.585,30,638,12,35
8,2,4,48,32,16,0.001,0.0005,0.2,0.5449999999999999,33,0.5645291217561639,0.8695857988165681,0.5538461538461539,0.9815384615384616,0.7676923076923077,0.6150291615567651,0.6371681415929203,0.9426573426573427,0.5449999999999999,36,638,12,29
