heldout_parent_group,heldout_edc_graph_id,n_train_graphs,n_train_edcs,n_train_non_edcs,n_test_graphs,n_test_edcs,n_test_non_edcs,edc_probability,edc_prediction,edc_rank_within_group,n_decoys_predicted_edc,hidden_size1,hidden_size2,hidden_size3,lr,weight_decay,batch_size,dropout,pr_auc,roc_auc,precision,recall,specificity,balanced_accuracy,mcc,f1_score,accuracy,threshold,tp,tn,fp,fn
69,69,880,80,800,11,1,10,0.5569565892219543,1,1,0,60,40,20,0.0005,0.0005,64,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1,10,0,0
70,70,880,80,800,11,1,10,0.45513105392456055,0,1,0,60,40,20,0.0005,0.0005,64,0.5,1.0,1.0,0.0,0.0,1.0,0.5,0.0,0.0,0.9090909090909091,0.5,0,10,0,1
71,71,880,80,800,11,1,10,0.02374672144651413,0,2,0,60,40,20,0.0005,0.0005,64,0.5,0.5,0.9,0.0,0.0,1.0,0.5,0.0,0.0,0.9090909090909091,0.5,0,10,0,1
72,72,880,80,800,11,1,10,0.9302805066108704,1,1,0,60,40,20,0.0005,0.0005,64,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1,10,0,0
73,73,880,80,800,11,1,10,0.941145658493042,1,1,0,60,40,20,0.0005,0.0005,64,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1,10,0,0
74,74,880,80,800,11,1,10,0.9401041865348816,1,1,0,60,40,20,0.0005,0.0005,64,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1,10,0,0
75,75,880,80,800,11,1,10,0.764398992061615,1,1,0,60,40,20,0.0005,0.0005,64,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1,10,0,0
76,76,880,80,800,11,1,10,0.7782757878303528,1,1,0,60,40,20,0.0005,0.0005,64,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1,10,0,0
77,77,880,80,800,11,1,10,0.7411174178123474,1,1,0,60,40,20,0.0005,0.0005,64,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1,10,0,0
78,78,880,80,800,11,1,10,0.9861063957214355,1,1,0,60,40,20,0.0005,0.0005,64,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1,10,0,0
79,79,880,80,800,11,1,10,0.927551805973053,1,1,0,60,40,20,0.0005,0.0005,64,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1,10,0,0
80,80,880,80,800,11,1,10,0.9309573173522949,1,1,0,60,40,20,0.0005,0.0005,64,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1,10,0,0
