ratio,negative_ratio,sampling_round,outer_fold,n_selected_total,n_train_graphs,n_validation_graphs,n_test_graphs,n_train_edcs,n_train_non_edcs,n_validation_edcs,n_validation_non_edcs,n_test_edcs,n_test_non_edcs,best_epoch,best_validation_pr_auc,hidden_size1,hidden_size2,hidden_size3,lr,weight_decay,dropout,pr_auc,roc_auc,recall,specificity,balanced_accuracy,mcc,f1_score,accuracy,threshold,tp,tn,fp,fn
1,1:1,11,2,162,130,26,32,65,65,13,13,16,16,38,0.9945054945054946,60,40,20,0.0005,0.0005,0.5,0.902995017592057,0.939453125,1.0,0.0,0.5,0.0,0.6666666666666666,0.5,0.4699999999999999,16,0,16,0
1,1:1,11,3,162,130,26,32,65,65,13,13,16,16,33,0.9774161735700198,60,40,20,0.0005,0.0005,0.5,0.9444940476190476,0.91015625,1.0,0.0,0.5,0.0,0.6666666666666666,0.5,0.49999999999999994,16,0,16,0
1,1:1,11,4,162,130,26,32,65,65,13,13,16,16,15,0.8519660894660894,60,40,20,0.0005,0.0005,0.5,0.9775,0.96484375,0.9375,0.5,0.71875,0.4865336327998411,0.7692307692307693,0.71875,0.49999999999999994,15,8,8,1
1,1:1,11,5,162,130,26,32,65,65,13,13,16,16,18,1.0,60,40,20,0.0005,0.0005,0.5,0.9885110294117647,0.98828125,1.0,0.0,0.5,0.0,0.6666666666666666,0.5,0.48499999999999993,16,0,16,0
1,1:1,12,1,162,128,26,34,64,64,13,13,17,17,1,0.9821780783319245,60,40,20,0.0005,0.0005,0.5,1.0,1.0,0.9411764705882353,1.0,0.9705882352941176,0.9428090415820634,0.9696969696969697,0.9705882352941176,0.5549999999999999,16,17,0,1
1,1:1,12,2,162,130,26,32,65,65,13,13,16,16,1,1.0,60,40,20,0.0005,0.0005,0.5,0.9680884832079686,0.97265625,0.4375,1.0,0.71875,0.5291502622129182,0.6086956521739131,0.71875,0.48499999999999993,7,16,0,9
1,1:1,12,3,162,130,26,32,65,65,13,13,16,16,3,1.0,60,40,20,0.0005,0.0005,0.5,0.8706588040227746,0.916015625,1.0,0.0,0.5,0.0,0.6666666666666666,0.5,0.49999999999999994,16,0,16,0
1,1:1,12,4,162,130,26,32,65,65,13,13,16,16,1,1.0,60,40,20,0.0005,0.0005,0.5,1.0,1.0,1.0,0.875,0.9375,0.8819171036881969,0.9411764705882353,0.9375,0.6699999999999999,16,14,2,0
1,1:1,12,5,162,130,26,32,65,65,13,13,16,16,9,0.8613647036723959,60,40,20,0.0005,0.0005,0.5,0.97359375,0.9609375,0.9375,0.9375,0.9375,0.875,0.9375,0.9375,0.565,15,15,1,1
1,1:1,13,1,162,128,26,34,64,64,13,13,17,17,1,1.0,60,40,20,0.0005,0.0005,0.5,0.982843137254902,0.9757785467128027,1.0,0.0,0.5,0.0,0.6666666666666666,0.5,0.49999999999999994,17,0,17,0
1,1:1,13,2,162,130,26,32,65,65,13,13,16,16,1,1.0,60,40,20,0.0005,0.0005,0.5,0.9705023275335776,0.97265625,1.0,0.875,0.9375,0.8819171036881969,0.9411764705882353,0.9375,0.49999999999999994,16,14,2,0
1,1:1,13,3,162,130,26,32,65,65,13,13,16,16,35,1.0,60,40,20,0.0005,0.0005,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5099999999999999,16,16,0,0
1,1:1,13,4,162,130,26,32,65,65,13,13,16,16,10,0.9819004524886874,60,40,20,0.0005,0.0005,0.5,0.9789786347231201,0.98046875,1.0,0.0,0.5,0.0,0.6666666666666666,0.5,0.4749999999999999,16,0,16,0
1,1:1,13,5,162,130,26,32,65,65,13,13,16,16,8,1.0,60,40,20,0.0005,0.0005,0.5,0.9581875436654849,0.96484375,1.0,0.0,0.5,0.0,0.6666666666666666,0.5,0.49999999999999994,16,0,16,0
1,1:1,14,1,162,128,26,34,64,64,13,13,17,17,1,1.0,60,40,20,0.0005,0.0005,0.5,0.9866310160427808,0.9826989619377163,0.6470588235294118,1.0,0.8235294117647058,0.6915640748081247,0.7857142857142858,0.8235294117647058,0.49999999999999994,11,17,0,6
1,1:1,14,2,162,130,26,32,65,65,13,13,16,16,24,1.0,60,40,20,0.0005,0.0005,0.5,1.0,1.0,1.0,0.0,0.5,0.0,0.6666666666666666,0.5,0.48499999999999993,16,0,16,0
1,1:1,14,3,162,130,26,32,65,65,13,13,16,16,1,1.0,60,40,20,0.0005,0.0005,0.5,0.8273521107160813,0.91015625,0.5625,0.9375,0.75,0.5393598899705937,0.6923076923076923,0.75,0.4649999999999999,9,15,1,7
1,1:1,14,4,162,130,26,32,65,65,13,13,16,16,13,1.0,60,40,20,0.0005,0.0005,0.5,1.0,1.0,1.0,0.0,0.5,0.0,0.6666666666666666,0.5,0.4749999999999999,16,0,16,0
1,1:1,14,5,162,130,26,32,65,65,13,13,16,16,1,0.9786324786324787,60,40,20,0.0005,0.0005,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.285,16,16,0,0
1,1:1,15,1,162,128,26,34,64,64,13,13,17,17,1,0.3313135119094871,60,40,20,0.0005,0.0005,0.5,0.3298635275864541,0.0,1.0,0.0,0.5,0.0,0.6666666666666666,0.5,0.49999999999999994,17,0,17,0
1,1:1,15,2,162,130,26,32,65,65,13,13,16,16,16,1.0,60,40,20,0.0005,0.0005,0.5,0.9829545454545454,0.9765625,0.9375,0.625,0.78125,0.592156525463792,0.8108108108108109,0.78125,0.5249999999999999,15,10,6,1
1,1:1,15,3,162,130,26,32,65,65,13,13,16,16,1,0.9885883347421809,60,40,20,0.0005,0.0005,0.5,0.9405521561771562,0.9375,1.0,0.375,0.6875,0.48038446141526137,0.761904761904762,0.6875,0.105,16,6,10,0
1,1:1,15,4,162,130,26,32,65,65,13,13,16,16,17,1.0,60,40,20,0.0005,0.0005,0.5,0.9963235294117647,0.99609375,0.625,1.0,0.8125,0.674199862463242,0.7692307692307693,0.8125,0.5049999999999999,10,16,0,6
1,1:1,15,5,162,130,26,32,65,65,13,13,16,16,16,0.9897435897435898,60,40,20,0.0005,0.0005,0.5,0.9924172794117647,0.9921875,1.0,0.9375,0.96875,0.9393364366277243,0.9696969696969697,0.96875,0.49999999999999994,16,15,1,0
1,1:1,16,1,162,128,26,34,64,64,13,13,17,17,1,1.0,60,40,20,0.0005,0.0005,0.5,0.9669139203741282,0.972318339100346,1.0,0.0,0.5,0.0,0.6666666666666666,0.5,0.12499999999999999,17,0,17,0
1,1:1,16,2,162,130,26,32,65,65,13,13,16,16,16,1.0,60,40,20,0.0005,0.0005,0.5,0.9875,0.984375,1.0,0.0,0.5,0.0,0.6666666666666666,0.5,0.49499999999999994,16,0,16,0
1,1:1,16,3,162,130,26,32,65,65,13,13,16,16,19,0.9757085020242915,60,40,20,0.0005,0.0005,0.5,1.0,1.0,1.0,0.875,0.9375,0.8819171036881969,0.9411764705882353,0.9375,0.48999999999999994,16,14,2,0
1,1:1,16,4,162,130,26,32,65,65,13,13,16,16,1,1.0,60,40,20,0.0005,0.0005,0.5,1.0,1.0,0.9375,1.0,0.96875,0.9393364366277243,0.967741935483871,0.96875,0.585,15,16,0,1
1,1:1,16,5,162,130,26,32,65,65,13,13,16,16,1,0.9999999999999998,60,40,20,0.0005,0.0005,0.5,0.9829545454545454,0.9765625,0.6875,1.0,0.84375,0.7237468644557459,0.8148148148148148,0.84375,0.49499999999999994,11,16,0,5
1,1:1,17,1,162,128,26,34,64,64,13,13,17,17,9,0.9855769230769231,60,40,20,0.0005,0.0005,0.5,0.9352489736937014,0.9498269896193772,1.0,0.0,0.5,0.0,0.6666666666666666,0.5,0.4749999999999999,17,0,17,0
1,1:1,17,2,162,130,26,32,65,65,13,13,16,16,1,1.0,60,40,20,0.0005,0.0005,0.5,0.9669706518971225,0.9609375,0.875,0.9375,0.90625,0.8140915784106943,0.9032258064516129,0.90625,0.38499999999999995,14,15,1,2
1,1:1,17,3,162,130,26,32,65,65,13,13,16,16,2,0.973076923076923,60,40,20,0.0005,0.0005,0.5,1.0,1.0,1.0,0.75,0.875,0.7745966692414834,0.888888888888889,0.875,0.5549999999999999,16,12,4,0
1,1:1,17,4,162,130,26,32,65,65,13,13,16,16,27,0.9697913422609779,60,40,20,0.0005,0.0005,0.5,0.9924172794117647,0.9921875,1.0,0.0,0.5,0.0,0.6666666666666666,0.5,0.49499999999999994,16,0,16,0
1,1:1,17,5,162,130,26,32,65,65,13,13,16,16,19,0.9826007326007324,60,40,20,0.0005,0.0005,0.5,0.861197952374423,0.896484375,1.0,0.0,0.5,0.0,0.6666666666666666,0.5,0.48499999999999993,16,0,16,0
1,1:1,18,1,162,128,26,34,64,64,13,13,17,17,1,1.0,60,40,20,0.0005,0.0005,0.5,1.0,1.0,0.8823529411764706,1.0,0.9411764705882353,0.8885233166386385,0.9375,0.9411764705882353,0.5349999999999999,15,17,0,2
1,1:1,18,2,162,130,26,32,65,65,13,13,16,16,1,1.0,60,40,20,0.0005,0.0005,0.5,1.0,1.0,1.0,0.0,0.5,0.0,0.6666666666666666,0.5,0.49999999999999994,16,0,16,0
1,1:1,18,3,162,130,26,32,65,65,13,13,16,16,1,1.0,60,40,20,0.0005,0.0005,0.5,1.0,1.0,1.0,0.0,0.5,0.0,0.6666666666666666,0.5,0.36499999999999994,16,0,16,0
1,1:1,18,4,162,130,26,32,65,65,13,13,16,16,1,0.9999999999999998,60,40,20,0.0005,0.0005,0.5,0.9924172794117647,0.9921875,0.875,0.9375,0.90625,0.8140915784106943,0.9032258064516129,0.90625,0.4149999999999999,14,15,1,2
1,1:1,18,5,162,130,26,32,65,65,13,13,16,16,19,1.0,60,40,20,0.0005,0.0005,0.5,1.0,1.0,0.875,1.0,0.9375,0.8819171036881969,0.9333333333333333,0.9375,0.4749999999999999,14,16,0,2
1,1:1,19,1,162,128,26,34,64,64,13,13,17,17,1,0.9786324786324787,60,40,20,0.0005,0.0005,0.5,1.0,1.0,1.0,0.8823529411764706,0.9411764705882353,0.8885233166386385,0.9444444444444444,0.9411764705882353,0.43999999999999995,17,15,2,0
1,1:1,19,2,162,130,26,32,65,65,13,13,16,16,1,1.0,60,40,20,0.0005,0.0005,0.5,0.9930555555555556,0.9921875,1.0,0.4375,0.71875,0.5291502622129182,0.7804878048780487,0.71875,0.4749999999999999,16,7,9,0
1,1:1,19,3,162,130,26,32,65,65,13,13,16,16,25,1.0,60,40,20,0.0005,0.0005,0.5,0.9829545454545454,0.9765625,0.5625,1.0,0.78125,0.6255432421712243,0.72,0.78125,0.5099999999999999,9,16,0,7
1,1:1,19,4,162,130,26,32,65,65,13,13,16,16,16,0.9999999999999998,60,40,20,0.0005,0.0005,0.5,0.9809782608695652,0.97265625,1.0,0.0,0.5,0.0,0.6666666666666666,0.5,0.49999999999999994,16,0,16,0
1,1:1,19,5,162,130,26,32,65,65,13,13,16,16,1,1.0,60,40,20,0.0005,0.0005,0.5,0.9924172794117647,0.9921875,1.0,0.9375,0.96875,0.9393364366277243,0.9696969696969697,0.96875,0.61,16,15,1,0
1,1:1,20,1,162,128,26,34,64,64,13,13,17,17,33,1.0,60,40,20,0.0005,0.0005,0.5,0.9967320261437909,0.9965397923875432,1.0,0.9411764705882353,0.9705882352941176,0.9428090415820634,0.9714285714285714,0.9705882352941176,0.5149999999999999,17,16,1,0
1,1:1,20,2,162,130,26,32,65,65,13,13,16,16,14,0.9897435897435898,60,40,20,0.0005,0.0005,0.5,1.0,1.0,1.0,0.0,0.5,0.0,0.6666666666666666,0.5,0.49999999999999994,16,0,16,0
1,1:1,20,3,162,130,26,32,65,65,13,13,16,16,25,0.9945054945054945,60,40,20,0.0005,0.0005,0.5,0.9789786347231201,0.98046875,0.9375,0.9375,0.9375,0.875,0.9375,0.9375,0.48499999999999993,15,15,1,1
1,1:1,20,4,162,130,26,32,65,65,13,13,16,16,9,1.0,60,40,20,0.0005,0.0005,0.5,0.9963235294117647,0.99609375,1.0,0.0,0.5,0.0,0.6666666666666666,0.5,0.42499999999999993,16,0,16,0
1,1:1,20,5,162,130,26,32,65,65,13,13,16,16,1,1.0,60,40,20,0.0005,0.0005,0.5,0.9809782608695652,0.97265625,0.875,1.0,0.9375,0.8819171036881969,0.9333333333333333,0.9375,0.245,14,16,0,2
1,1:1,21,1,162,128,26,34,64,64,13,13,17,17,60,0.9885883347421809,60,40,20,0.0005,0.0005,0.5,0.9866310160427809,0.9826989619377162,0.9411764705882353,0.7058823529411765,0.8235294117647058,0.6657502859356826,0.8421052631578947,0.8235294117647058,0.48999999999999994,16,12,5,1
1,1:1,21,2,162,130,26,32,65,65,13,13,16,16,1,1.0,60,40,20,0.0005,0.0005,0.5,0.9930555555555556,0.9921875,1.0,0.0,0.5,0.0,0.6666666666666666,0.5,0.49999999999999994,16,0,16,0
1,1:1,21,3,162,130,26,32,65,65,13,13,16,16,1,0.9757085020242913,60,40,20,0.0005,0.0005,0.5,1.0,1.0,0.6875,1.0,0.84375,0.7237468644557459,0.8148148148148148,0.84375,0.5349999999999999,11,16,0,5
1,1:1,21,4,162,130,26,32,65,65,13,13,16,16,2,0.9786324786324785,60,40,20,0.0005,0.0005,0.5,1.0,1.0,1.0,0.0,0.5,0.0,0.6666666666666666,0.5,0.49999999999999994,16,0,16,0
1,1:1,21,5,162,130,26,32,65,65,13,13,16,16,5,1.0,60,40,20,0.0005,0.0005,0.5,0.9129397869287577,0.90625,1.0,0.0,0.5,0.0,0.6666666666666666,0.5,0.49999999999999994,16,0,16,0
1,1:1,22,1,162,128,26,34,64,64,13,13,17,17,4,0.9855769230769229,60,40,20,0.0005,0.0005,0.5,0.9967320261437909,0.9965397923875432,0.7058823529411765,1.0,0.8529411764705883,0.7385489458759965,0.8275862068965517,0.8529411764705882,0.49999999999999994,12,17,0,5
1,1:1,22,2,162,130,26,32,65,65,13,13,16,16,1,0.9819004524886877,60,40,20,0.0005,0.0005,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8099999999999999,16,16,0,0
