ratio,negative_ratio,sampling_round,n_outer_folds,n_samples,n_edcs,n_non_edcs,pr_auc,roc_auc,ranking_metric_aggregation,recall,specificity,balanced_accuracy,mcc,f1_score,accuracy,tp,tn,fp,fn,threshold_mean,threshold_sd
2,1:2,42,5,243,81,162,0.9699836596047784,0.9854983660130718,test-size-weighted outer-fold mean,1.0,0.38271604938271603,0.691358024691358,0.41384866585751395,0.6183206106870229,0.588477366255144,81,62,100,0,0.45549382716049375,0.05667892024377317
2,1:2,43,5,243,81,162,0.9513161317484216,0.9779071350762526,test-size-weighted outer-fold mean,0.9753086419753086,0.30864197530864196,0.6419753086419753,0.3263807066703995,0.5808823529411765,0.5308641975308642,79,50,112,2,0.48148148148148134,0.02966479394838265
2,1:2,44,5,243,81,162,0.9743481637641452,0.9766249092229484,test-size-weighted outer-fold mean,1.0,0.25308641975308643,0.6265432098765432,0.31856733748903304,0.5724381625441696,0.5020576131687243,81,41,121,0,0.46641975308641964,0.09256079083499666
2,1:2,45,5,243,81,162,0.935114602444824,0.9758079157588961,test-size-weighted outer-fold mean,0.8888888888888888,0.7098765432098766,0.7993827160493827,0.564641003885813,0.72,0.7695473251028807,72,115,47,9,0.467037037037037,0.02949576240750525
2,1:2,46,5,243,81,162,0.9721042257102659,0.9837962962962963,test-size-weighted outer-fold mean,0.9753086419753086,0.5679012345679012,0.7716049382716049,0.5257879313337801,0.6869565217391305,0.7037037037037037,79,92,70,2,0.4954938271604938,0.03681032463861194
2,1:2,47,5,243,81,162,0.9634522169108226,0.9730392156862745,test-size-weighted outer-fold mean,0.9629629629629629,0.6975308641975309,0.8302469135802468,0.6233585559056232,0.75,0.7860082304526749,78,113,49,3,0.4993209876543209,0.032093613071762436
2,1:2,48,5,243,81,162,0.9702615998296589,0.9760802469135802,test-size-weighted outer-fold mean,0.8271604938271605,0.4074074074074074,0.6172839506172839,0.23530426719358322,0.5491803278688525,0.5473251028806584,67,66,96,14,0.4661728395061727,0.024849547279578367
2,1:2,49,5,243,81,162,0.970063555539705,0.9860430283224401,test-size-weighted outer-fold mean,0.9753086419753086,0.8703703703703703,0.9228395061728395,0.8100979825050432,0.8729281767955801,0.9053497942386831,79,141,21,2,0.5132098765432097,0.032710854467592254
2,1:2,50,5,243,81,162,0.9582938857720994,0.9836260893246187,test-size-weighted outer-fold mean,0.9135802469135802,0.5185185185185185,0.7160493827160493,0.4208628114633966,0.6351931330472103,0.6502057613168725,74,84,78,7,0.4698148148148147,0.04286607049870563
5,1:5,1,5,486,81,405,0.8959871230973825,0.9808460421205519,test-size-weighted outer-fold mean,0.6419753086419753,0.9827160493827161,0.8123456790123457,0.7128457680541197,0.7428571428571429,0.9259259259259259,52,398,7,29,0.48067901234567895,0.02408318915758459
5,1:5,2,5,486,81,405,0.93387570820897,0.9838598402323891,test-size-weighted outer-fold mean,0.7777777777777778,0.6123456790123457,0.6950617283950618,0.29209217732538156,0.4186046511627907,0.6399176954732511,63,248,157,18,0.4871604938271604,0.024899799195977457
5,1:5,3,5,486,81,405,0.9258973063166963,0.9855664488017427,test-size-weighted outer-fold mean,0.7777777777777778,0.7876543209876543,0.7827160493827161,0.45702756582656806,0.5478260869565217,0.7860082304526749,63,319,86,18,0.49629629629629624,0.0708343137187056
5,1:5,4,5,486,81,405,0.9079591522263628,0.9735611837327525,test-size-weighted outer-fold mean,0.9135802469135802,0.5876543209876544,0.7506172839506173,0.3736108433124819,0.45962732919254656,0.6419753086419753,74,238,167,7,0.4967283950617283,0.02464751508773247
5,1:5,5,5,486,81,405,0.9127135583753335,0.9838553013798113,test-size-weighted outer-fold mean,0.9012345679012346,0.6987654320987654,0.8,0.4562023007992834,0.5289855072463768,0.7325102880658436,73,283,122,8,0.4826543209876542,0.03866522985836241
5,1:5,6,5,486,81,405,0.9064192345590023,0.9647467320261437,test-size-weighted outer-fold mean,0.7901234567901234,0.7950617283950617,0.7925925925925925,0.47479356844317183,0.5614035087719298,0.7942386831275721,64,322,83,17,0.46969135802469125,0.06066300355241241
5,1:5,7,5,486,81,405,0.933661581085615,0.9824891067538126,test-size-weighted outer-fold mean,0.8395061728395061,0.9629629629629629,0.9012345679012346,0.7947065446016202,0.8292682926829268,0.9423868312757202,68,390,15,13,0.4525308641975308,0.03850324661635691
