mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_random_state,param_splitter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0.1097459077835083,0.009160223106590074,0.010784125328063965,0.002313364721555513,gini,20,1,2,42,random,"{'criterion': 'gini', 'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 2, 'random_state': 42, 'splitter': 'random'}",0.9647058823529412,0.9649805447470817,0.9763779527559056,0.976190476190476,0.9384615384615385,0.9647058823529412,0.9652509652509653,0.9322709163346614,0.9767441860465117,0.9498069498069498,0.9609495294299972,0.014950235311894208,204
0.20360844135284423,0.029011082217699505,0.011648607254028321,0.004130549417853362,gini,20,1,5,42,best,"{'criterion': 'gini', 'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 5, 'random_state': 42, 'splitter': 'best'}",0.9606299212598425,0.9554655870445343,0.9841269841269842,0.9800796812749005,0.9603174603174602,0.9725490196078432,0.988235294117647,0.9512195121951219,0.976190476190476,0.9647058823529412,0.969351981848775,0.012032669454357901,107
0.11403560638427734,0.011210055291360578,0.01163790225982666,0.002785150526772149,gini,20,1,5,42,random,"{'criterion': 'gini', 'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 5, 'random_state': 42, 'splitter': 'random'}",0.9494163424124514,0.968503937007874,0.984251968503937,0.988235294117647,0.9420849420849421,0.9523809523809523,0.9921875,0.9359999999999999,0.9765625,0.9531249999999999,0.9642748436507805,0.01923432882797155,174
0.2137561559677124,0.03735687426635466,0.0108781099319458,0.001758065676199763,gini,20,1,10,42,best,"{'criterion': 'gini', 'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 10, 'random_state': 42, 'splitter': 'best'}",0.9721115537848605,0.9635627530364372,0.9802371541501976,0.9802371541501976,0.96,0.9649805447470817,0.988235294117647,0.9512195121951219,0.9802371541501976,0.9687500000000001,0.9709571120331741,0.010784823844100701,81
0.1074803352355957,0.008584963873970062,0.01324167251586914,0.005874250763708306,gini,20,1,10,42,random,"{'criterion': 'gini', 'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 10, 'random_state': 42, 'splitter': 'random'}",0.9729729729729729,0.9649805447470817,0.9800796812749005,0.9647058823529412,0.9363295880149813,0.9402390438247011,0.9921875,0.9212598425196851,0.9469696969696969,0.945736434108527,0.9565461186785488,0.020880629013714846,242
0.18988733291625975,0.031546224494276104,0.010159015655517578,0.0007802595931470506,gini,20,2,2,42,best,"{'criterion': 'gini', 'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 2, 'random_state': 42, 'splitter': 'best'}",0.9682539682539683,0.9596774193548386,0.9800796812749005,0.9880478087649402,0.96,0.9682539682539683,0.988235294117647,0.9551020408163264,0.9841269841269842,0.9721115537848605,0.9723888718748434,0.01158194582819888,18
0.10088551044464111,0.006007918308274628,0.010231661796569824,0.0004739967271919715,gini,20,2,2,42,random,"{'criterion': 'gini', 'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 2, 'random_state': 42, 'splitter': 'random'}",0.9682539682539683,0.9411764705882352,0.9561752988047808,0.9469387755102041,0.9534883720930233,0.9674796747967479,0.9767441860465117,0.9561752988047808,0.9370078740157481,0.9571984435797665,0.9560638362493767,0.011758285757072873,259
0.1841898202896118,0.02298718025795346,0.010413575172424316,0.000901217360016623,gini,20,2,5,42,best,"{'criterion': 'gini', 'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 5, 'random_state': 42, 'splitter': 'best'}",0.9606299212598425,0.9596774193548386,0.976,0.9839999999999999,0.96,0.9723320158102767,0.9843749999999999,0.9551020408163264,0.9841269841269842,0.9721115537848605,0.9708354935153128,0.01075840138273114,82
0.10483825206756592,0.018175224311788064,0.010753107070922852,0.0012454239930969713,gini,20,2,5,42,random,"{'criterion': 'gini', 'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 5, 'random_state': 42, 'splitter': 'random'}",0.968503937007874,0.980544747081712,0.9682539682539683,0.9558232931726907,0.9397590361445783,0.9565217391304348,0.980544747081712,0.9469387755102041,0.9603174603174602,0.9571984435797665,0.96144061472804,0.012576364239812145,199
0.18873426914215088,0.02455940198894658,0.010370993614196777,0.00048355172509579605,gini,20,2,10,42,best,"{'criterion': 'gini', 'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 10, 'random_state': 42, 'splitter': 'best'}",0.9721115537848605,0.9554655870445343,0.976190476190476,0.984251968503937,0.96,0.9723320158102767,0.980544747081712,0.9635627530364372,0.9841269841269842,0.9763779527559056,0.9724964038335123,0.009450641243618652,13
0.10166239738464355,0.006435992171299586,0.010055851936340333,0.0005361360743659678,gini,20,2,10,42,random,"{'criterion': 'gini', 'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 10, 'random_state': 42, 'splitter': 'random'}",0.9615384615384616,0.9531249999999999,0.935483870967742,0.9638554216867471,0.9461538461538462,0.9482071713147411,0.9615384615384616,0.9142857142857144,0.9538461538461539,0.9571984435797665,0.9495232544911634,0.014270891672596575,272
0.1839749336242676,0.029813742428621278,0.01092376708984375,0.0014788262158615547,gini,20,4,2,42,best,"{'criterion': 'gini', 'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 2, 'random_state': 42, 'splitter': 'best'}",0.9641434262948209,0.9596774193548386,0.9880478087649402,0.9721115537848605,0.9641434262948209,0.9641434262948209,0.9765625,0.9516129032258065,0.959349593495935,0.9603174603174602,0.9660109517828305,0.00984299501737638,147
0.10422160625457763,0.013454892563106424,0.010765933990478515,0.0009465006506461507,gini,20,4,2,42,random,"{'criterion': 'gini', 'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 2, 'random_state': 42, 'splitter': 'random'}",0.9448818897637795,0.9407114624505929,0.9516129032258065,0.9512195121951219,0.9272030651340997,0.9338842975206613,0.9541984732824427,0.9407114624505929,0.96,0.9338521400778211,0.9438275206100919,0.009897672576305078,292
