mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_algorithm,param_n_jobs,param_n_neighbors,param_weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0.5520262002944947,0.13618834660703047,0.2787788867950439,0.1314273254096684,ball_tree,-1,21,distance,"{'algorithm': 'ball_tree', 'n_jobs': -1, 'n_neighbors': 21, 'weights': 'distance'}",0.8654545454545455,0.8881118881118881,0.9037037037037037,0.9130434782608696,0.8865248226950354,0.8561643835616439,0.8741258741258742,0.8732394366197184,0.8811188811188813,0.8881118881118881,0.8829598901764049,0.016129090553590977,35
0.702105712890625,0.13011613113297227,0.6050702095031738,0.10518175809249208,kd_tree,-1,3,uniform,"{'algorithm': 'kd_tree', 'n_jobs': -1, 'n_neighbors': 3, 'weights': 'uniform'}",0.9389312977099236,0.9657794676806084,0.9689922480620156,0.9806949806949807,0.9505703422053232,0.9657794676806084,0.9548872180451127,0.9545454545454546,0.9621212121212122,0.9513108614232211,0.9593612550168462,0.011138084354133557,5
0.6688021421432495,0.12024477485623661,0.5317382097244263,0.08502278840018998,kd_tree,-1,3,distance,"{'algorithm': 'kd_tree', 'n_jobs': -1, 'n_neighbors': 3, 'weights': 'distance'}",0.9425287356321839,0.9657794676806084,0.9649805447470817,0.9883268482490272,0.9541984732824427,0.9694656488549619,0.9621212121212122,0.9584905660377357,0.9694656488549619,0.9513108614232211,0.9626668006883439,0.011789313014634947,1
0.835312032699585,0.192257762242082,0.23678877353668212,0.0730367618410743,kd_tree,-1,5,uniform,"{'algorithm': 'kd_tree', 'n_jobs': -1, 'n_neighbors': 5, 'weights': 'uniform'}",0.9077490774907748,0.927007299270073,0.9501915708812261,0.9513108614232211,0.9363295880149813,0.9398496240601504,0.9304029304029303,0.9433962264150944,0.9304029304029303,0.9442379182156134,0.9360878026576994,0.012308043829523416,11
0.7515239715576172,0.1415820342560803,0.29022185802459716,0.10103111198532191,kd_tree,-1,5,distance,"{'algorithm': 'kd_tree', 'n_jobs': -1, 'n_neighbors': 5, 'weights': 'distance'}",0.9111111111111111,0.9372693726937269,0.9501915708812261,0.9657794676806084,0.9398496240601504,0.9398496240601504,0.9338235294117647,0.9505703422053232,0.9372693726937269,0.9442379182156134,0.9409951933013401,0.013326333426611145,7
0.6896449804306031,0.104261480664522,0.31843903064727785,0.07579354096942548,kd_tree,-1,7,uniform,"{'algorithm': 'kd_tree', 'n_jobs': -1, 'n_neighbors': 7, 'weights': 'uniform'}",0.8913043478260869,0.9136690647482013,0.9433962264150944,0.9338235294117647,0.929889298892989,0.9124087591240877,0.9236363636363636,0.9259259259259259,0.927007299270073,0.9338235294117647,0.9234884344662351,0.013871769671262189,21
0.7000926733016968,0.08149469687601973,0.39337978363037107,0.11236414851683725,kd_tree,-1,7,distance,"{'algorithm': 'kd_tree', 'n_jobs': -1, 'n_neighbors': 7, 'weights': 'distance'}",0.9044117647058824,0.927007299270073,0.9465648854961832,0.9548872180451127,0.9363295880149813,0.9259259259259259,0.9304029304029303,0.9363295880149813,0.9338235294117647,0.9407407407407408,0.9336423470028576,0.01285179703361479,13
0.7167266607284546,0.049196993162593385,0.4804677963256836,0.1797757089262135,kd_tree,-1,9,uniform,"{'algorithm': 'kd_tree', 'n_jobs': -1, 'n_neighbors': 9, 'weights': 'uniform'}",0.8705035971223021,0.8975265017667845,0.9253731343283583,0.926470588235294,0.9124087591240877,0.8992805755395684,0.9039145907473309,0.9124087591240877,0.9071428571428571,0.9202898550724637,0.9075319218203134,0.015619988238231531,27
0.6262186288833618,0.10057759530381458,0.5414812803268433,0.18622202697729898,kd_tree,-1,9,distance,"{'algorithm': 'kd_tree', 'n_jobs': -1, 'n_neighbors': 9, 'weights': 'distance'}",0.9010989010989011,0.9236363636363636,0.9323308270676692,0.9473684210526315,0.9333333333333333,0.9025270758122743,0.927007299270073,0.9259259259259259,0.927007299270073,0.927007299270073,0.9247242745737319,0.013091489332693336,17
0.7362746953964233,0.08268675969626799,0.6111952066421509,0.06675483514678747,kd_tree,-1,11,uniform,"{'algorithm': 'kd_tree', 'n_jobs': -1, 'n_neighbors': 11, 'weights': 'uniform'}",0.8642857142857142,0.8881118881118881,0.915129151291513,0.9230769230769231,0.8920863309352518,0.8865248226950354,0.8975265017667845,0.8928571428571429,0.8975265017667845,0.9136690647482013,0.8970794041535239,0.016085026865382893,29
